model,prompt_type,prompt_index,split,Category,TP,FP,FN,P,R,F0.5
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:ADJ,0,0,10,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:ADV,1,4,26,0.2,0.037,0.1064
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:CONJ,0,0,16,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:CONTR,0,0,1,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:DET,16,14,198,0.5333,0.0748,0.2395
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:NOUN,0,6,25,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:NOUN:POSS,0,1,7,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:OTHER,1,33,83,0.0294,0.0119,0.0227
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:PART,0,0,6,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:PREP,5,5,85,0.5,0.0556,0.1923
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:PRON,7,3,64,0.7,0.0986,0.3153
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:PUNCT,8,30,177,0.2105,0.0432,0.1187
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:VERB,4,5,46,0.4444,0.08,0.2326
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:VERB:FORM,3,0,7,1.0,0.3,0.6818
bigscience/bloomz-7b1,1-shot,1,fce-dev,M:VERB:TENSE,0,1,45,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:ADJ,1,19,34,0.05,0.0286,0.0435
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:ADJ:FORM,2,2,7,0.5,0.2222,0.4
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:ADV,0,4,27,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:CONJ,1,0,3,1.0,0.25,0.625
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:CONTR,0,1,8,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:DET,5,2,72,0.7143,0.0649,0.2381
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:MORPH,16,6,55,0.7273,0.2254,0.5031
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:NOUN,13,96,115,0.1193,0.1016,0.1152
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:NOUN:INFL,8,1,10,0.8889,0.4444,0.7407
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:NOUN:NUM,20,8,116,0.7143,0.1471,0.4032
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:NOUN:POSS,0,1,1,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:ORTH,12,26,90,0.3158,0.1176,0.2362
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:OTHER,15,81,379,0.1562,0.0381,0.0964
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:PART,1,0,10,1.0,0.0909,0.3333
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:PREP,11,3,205,0.7857,0.0509,0.2022
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:PRON,2,4,41,0.3333,0.0465,0.1493
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:PUNCT,6,17,109,0.2609,0.0522,0.1449
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:SPELL,154,42,199,0.7857,0.4363,0.6772
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:VERB,5,19,172,0.2083,0.0282,0.0916
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:VERB:FORM,28,13,56,0.6829,0.3333,0.5645
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:VERB:INFL,2,0,3,1.0,0.4,0.7692
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:VERB:SVA,6,0,40,1.0,0.1304,0.4286
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:VERB:TENSE,11,8,125,0.5789,0.0809,0.2594
bigscience/bloomz-7b1,1-shot,1,fce-dev,R:WO,7,3,53,0.7,0.1167,0.35
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:ADJ,0,2,11,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:ADV,2,12,29,0.1429,0.0645,0.1149
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:CONJ,0,0,3,1.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:CONTR,0,2,5,0.0,0.0,0.0
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:DET,2,2,89,0.5,0.022,0.0935
bigscience/bloomz-7b1,1-shot,1,fce-dev,U:NOUN,2,16,24,0.1111,0.0769,0.102
